category_code,detail_type,text
bt_speaker,UT,완충 24시간 재생
bt_speaker,UT,물에 젖어도 끄떡없는 방수
bt_speaker,UT,전원만 켜면 잡히는 자동 연결
bt_speaker,HE,저음이 두껍게 깔리는 소리
bt_speaker,HE,손에 감기는 원통 형태
bt_speaker,HE,네 가지 색상 구성
keyboard,UT,건전지 하나로 12개월
keyboard,UT,기기 세 대를 키 하나로 전환
keyboard,UT,윈도우와 맥 양쪽 지원
keyboard,HE,도서관에서도 눈치 안 보이는 타건음
keyboard,HE,두 가지 색을 섞은 키캡
keyboard,HE,손목이 편한 낮은 경사
power_bank,UT,스마트폰 두 번 채우는 용량
power_bank,UT,완충까지 두 시간이면 충분
power_bank,UT,기기 두 대 동시 충전
power_bank,HE,손바닥에 쏙 들어오는 크기
power_bank,HE,부드러운 무광 마감
power_bank,HE,세 가지 색상 구성
toothbrush,UT,빈틈없이 닦아내는 고속 진동
toothbrush,UT,세기 5단계 조절
toothbrush,UT,칫솔모 3개월치 동봉
toothbrush,HE,잇몸을 부드럽게 훑는 미세모
toothbrush,HE,물때가 덜 보이는 무광 마감
toothbrush,HE,손에 감기는 굴곡 손잡이
massage_roller,UT,뭉친 곳을 눌러 주는 돌기 배열
massage_roller,UT,가방에 들어가는 길이
massage_roller,UT,물세척 가능
massage_roller,HE,손에 착 감기는 부드러운 그립감
massage_roller,HE,세 가지 색상 구성
massage_roller,HE,곡면으로 다듬은 마감
hand_cream_set,UT,하루 종일 유지되는 촉촉함
hand_cream_set,UT,끈적임 없는 산뜻한 발림
hand_cream_set,UT,휴대용 크기 3개 구성
hand_cream_set,HE,고급스러운 향 3종 구성
hand_cream_set,HE,손에 부드럽게 스며드는 촉감
hand_cream_set,HE,세련된 디자인의 패키지
chair_seat,UT,골반을 세워 주는 경사 설계
chair_seat,UT,커버 분리 세탁 가능
chair_seat,UT,미끄럼 방지 바닥 처리
chair_seat,HE,오래 앉아도 눌리지 않는 푹신함
chair_seat,HE,여름에도 덜 더운 메시 상판
chair_seat,HE,사무실에 무난한 무채색
whiteboard_memo,UT,마카로 쓰고 지우는 반복 사용
whiteboard_memo,UT,자석으로 벽에 부착 가능
whiteboard_memo,UT,모서리 마감 처리로 안전
whiteboard_memo,HE,깔끔한 화이트 보드 표면
whiteboard_memo,HE,두 가지 사이즈 구성
whiteboard_memo,HE,어디에도 잘 어울리는 무난한 프레임
laptop_stand,UT,눈높이까지 올라가는 6단 조절
laptop_stand,UT,4kg까지 흔들리지 않는 지지
laptop_stand,UT,15.6인치까지 대응
laptop_stand,HE,접으면 파우치에 쏙 들어가는 크기
laptop_stand,HE,책상에 어울리는 무광 마감
laptop_stand,HE,두 가지 색상 구성
backpack,UT,1박 짐까지 들어가는 28L
backpack,UT,노트북 전용 칸
backpack,UT,생활 방수 원단
backpack,HE,어깨를 편안하게 감싸는 넓은 끈
backpack,HE,정장에도 어울리는 형태
backpack,HE,네 가지 색상 구성
hoodie,UT,보풀이 덜 생기는 소재
hoodie,UT,세탁 후에도 줄어들지 않는 원단
hoodie,UT,다양한 체형에 맞는 여유핏
hoodie,HE,안쪽 기모가 주는 포근한 촉감
hoodie,HE,캐주얼하게 어울리는 실루엣
hoodie,HE,다섯 가지 색상 구성
scarf,UT,보온성 높은 울 혼방 소재
scarf,UT,손세탁만으로 관리 가능
scarf,UT,계절 내내 활용 가능한 두께
scarf,HE,목에 닿을 때 포근한 촉감
scarf,HE,세 가지 색상 구성
scarf,HE,어떤 옷에도 어울리는 무늬
cutting_board,UT,칼자국이 덜 남는 단단한 원목
cutting_board,UT,양면으로 나눠 쓰는 구성
cutting_board,UT,물기에 강한 오일 마감
cutting_board,HE,나뭇결이 살아있는 자연스러운 무늬
cutting_board,HE,손에 편안한 적당한 무게감
cutting_board,HE,걸어서 보관하는 깔끔한 형태
coffee_dripper,UT,드리퍼와 서버 한 세트 구성
coffee_dripper,UT,눈금으로 물 양 확인 가능
coffee_dripper,UT,전자레인지 사용 가능 소재
coffee_dripper,HE,은은하게 퍼지는 커피 향
coffee_dripper,HE,손에 잡히는 안정적인 무게감
coffee_dripper,HE,두 가지 색상 구성
chef_knife_set,UT,채소와 고기 모두 대응하는 날 구성
chef_knife_set,UT,스테인리스 소재로 녹슬지 않음
chef_knife_set,UT,식기세척기 사용 가능
chef_knife_set,HE,손에 편안하게 잡히는 무게 중심
chef_knife_set,HE,매끈한 스테인리스 광택
chef_knife_set,HE,나란히 보관하는 케이스 포함
tumbler,UT,"보온 12시간, 보냉 24시간"
tumbler,UT,새지 않는 밀폐 뚜껑
tumbler,UT,식기세척기 사용 가능
tumbler,HE,손에 감기는 매끈한 곡선
tumbler,HE,네 가지 색상 구성
tumbler,HE,지문이 덜 남는 무광 마감
umbrella,UT,버튼 하나로 펴고 접는 자동 개폐
umbrella,UT,강풍에도 잘 뒤집히지 않는 구조
umbrella,UT,젖은 우산 넣는 파우치 포함
umbrella,HE,손에 착 감기는 짧은 손잡이
umbrella,HE,세 가지 색상 구성
umbrella,HE,접으면 가방에 쏙 들어가는 크기
neck_pillow,UT,목을 받쳐주는 U자 설계
neck_pillow,UT,접어서 부피를 줄이는 구조
neck_pillow,UT,커버 분리 세탁 가능
neck_pillow,HE,얼굴에 닿는 보드라운 촉감
neck_pillow,HE,두 가지 색상 구성
neck_pillow,HE,손에 편안한 가벼운 무게
mood_lamp,UT,밝기 3단계 조절
mood_lamp,UT,완충 후 최대 10시간 사용
mood_lamp,UT,터치 한 번으로 켜고 끄기
mood_lamp,HE,은은하게 퍼지는 부드러운 빛
mood_lamp,HE,공간을 아늑하게 만드는 색감
mood_lamp,HE,어디에나 어울리는 둥근 형태
diffuser,UT,최대 3개월 지속되는 용량
diffuser,UT,리필 스틱 포함 구성
diffuser,UT,넘어져도 잘 새지 않는 용기
diffuser,HE,은은하게 퍼지는 잔잔한 향
diffuser,HE,인테리어 소품 같은 병 디자인
diffuser,HE,세 가지 향 중 선택 가능
throw_blanket,UT,세탁기 사용 가능
throw_blanket,UT,보풀이 덜 생기는 촘촘한 원단
throw_blanket,UT,사계절 덮기 좋은 두께
throw_blanket,HE,살에 닿을 때 포근한 촉감
throw_blanket,HE,네 가지 색상 구성
throw_blanket,HE,소파에 걸쳐두기 좋은 크기
windbreaker,UT,봉제선까지 막은 방수 처리
windbreaker,UT,접어서 주머니에 들어가는 부피
windbreaker,UT,세탁기 사용 가능
windbreaker,HE,목까지 올라오는 깃
windbreaker,HE,도심에서 입기 좋은 실루엣
windbreaker,HE,다섯 가지 색상 구성
