category_code,detail_type,text
bt_speaker,UT,긴 재생 시간과 방수 기능을 갖춰 실내외 구분 없이 사용 가능
bt_speaker,HE,두꺼운 저음과 둥근 원통형 디자인이 어우러진 편안한 청음감
keyboard,UT,긴 배터리 수명과 멀티기기 전환 기능으로 여러 작업 환경에 대응
keyboard,HE,조용한 타건음과 아기자기한 색상 조합이 주는 산뜻한 사용감
power_bank,UT,넉넉한 용량과 빠른 충전 속도로 외부에서도 안정적인 전원 공급
power_bank,HE,작고 매끈한 무광 디자인으로 휴대 시 부담 없는 그립감
toothbrush,UT,강력한 진동과 다단계 세기 조절로 꼼꼼한 세정 가능
toothbrush,HE,부드러운 미세모와 매끈한 마감이 주는 편안한 사용 촉감
massage_roller,UT,휴대 가능한 크기와 세척 편의성으로 장소에 구애받지 않는 사용
massage_roller,HE,부드러운 그립감과 매끈한 곡선 마감이 주는 편안한 손맛
hand_cream_set,UT,산뜻한 발림과 지속력 좋은 보습으로 손이 자주 건조해지는 계절에도 사용 가능
hand_cream_set,HE,다양한 향과 세련된 패키지가 주는 고급스러운 사용감
chair_seat,UT,경사 설계와 미끄럼 방지 처리로 장시간 착석 시에도 안정적인 자세 유지
chair_seat,HE,푹신한 쿠션감과 통풍성 좋은 메시 소재가 주는 편안한 착석감
whiteboard_memo,UT,지우고 다시 쓸 수 있는 구조라 메모나 일정 관리를 반복적으로 사용 가능
whiteboard_memo,HE,깔끔한 표면과 무난한 프레임이 주는 정돈된 인상
laptop_stand,UT,세밀한 높이 조절과 안정적인 지지력으로 장시간 작업 시 부담 완화
laptop_stand,HE,접이식 구조와 무광 마감이 주는 깔끔한 데스크 인상
backpack,UT,넉넉한 수납공간과 방수 원단으로 단기 여행과 출장에 적합
backpack,HE,편안한 착용감과 다양한 상황에 어울리는 무난한 디자인
hoodie,UT,줄어들지 않는 내구성 좋은 원단으로 반복 세탁에도 형태 유지 가능
hoodie,HE,포근한 안감과 캐주얼한 실루엣이 주는 편안한 착용감
scarf,UT,보온성 높은 소재로 쌀쌀한 날씨에도 목과 어깨 보호
scarf,HE,부드러운 촉감과 은은한 색상이 주는 차분한 분위기
cutting_board,UT,단단한 원목 소재로 칼자국이 적고 오래 사용 가능
cutting_board,HE,자연스러운 나뭇결과 적당한 무게감이 주는 안정적인 사용감
coffee_dripper,UT,드리퍼와 서버 일체형 구성으로 별도 도구 없이 사용 가능
coffee_dripper,HE,은은한 향과 안정적인 무게감이 주는 여유로운 사용 경험
chef_knife_set,UT,크기가 다른 두 개의 칼로 구성되어 있어 채소 손질부터 고기 손질까지 대응 가능
chef_knife_set,HE,매끈한 광택과 안정적인 손잡이감이 주는 편안한 사용감
tumbler,UT,장시간 보온·보냉 유지와 밀폐 구조로 이동 중 사용에 적합
tumbler,HE,매끈한 곡선과 차분한 색감이 주는 편안한 그립감
umbrella,UT,자동 개폐 구조와 내풍성 설계로 악천후에도 사용 가능
umbrella,HE,짧은 손잡이와 콤팩트한 크기가 주는 간편한 휴대감
neck_pillow,UT,안정적인 목 받침 구조와 접이식 설계로 이동 중 휴대 편리
neck_pillow,HE,보드라운 촉감이 주는 편안한 착용감
mood_lamp,UT,밝기 조절과 장시간 사용 가능한 배터리로 공간 활용도 높음
mood_lamp,HE,은은한 조명과 부드러운 색감이 주는 아늑한 분위기
diffuser,UT,긴 지속 시간과 리필 구성으로 장기간 사용 가능
diffuser,HE,은은한 향과 소품 같은 병 디자인이 주는 인테리어 효과
throw_blanket,UT,세탁 용이성과 내구성 좋은 원단으로 관리 부담 적음
throw_blanket,HE,포근한 촉감이 주는 편안한 사용감
windbreaker,UT,빈틈없는 방수 처리와 접이식 부피로 갑작스러운 비바람에도 대응 가능
windbreaker,HE,목까지 올라오는 깃과 도심에 어울리는 실루엣이 주는 단정한 인상
