category_code,detail_type,text
bt_speaker,UT,완충 24시간 재생
bt_speaker,UT,생활 방수 IPX7 등급
bt_speaker,UT,전원만 켜면 잡히는 자동 연결
bt_speaker,HE,저음이 두껍게 깔리는 소리
bt_speaker,HE,손에 감기는 원통 형태
bt_speaker,HE,네 가지 색상 구성
keyboard,UT,건전지 하나로 12개월
keyboard,UT,기기 세 대를 키 하나로 전환
keyboard,UT,윈도우와 맥 양쪽 지원
keyboard,HE,도서관에서도 눈치 안 보이는 타건음
keyboard,HE,두 가지 색을 섞은 키캡
keyboard,HE,손목이 편한 낮은 경사
toothbrush,UT,분당 31000회 진동
toothbrush,UT,세기 5단계 조절
toothbrush,UT,칫솔모 3개월치 동봉
toothbrush,HE,잇몸을 부드럽게 훑는 미세모
toothbrush,HE,물때가 덜 보이는 무광 마감
toothbrush,HE,손에 감기는 굴곡 손잡이
massage_roller,UT,뭉친 곳을 눌러 주는 돌기 배열
massage_roller,UT,가방에 들어가는 길이
massage_roller,UT,물세척 가능
massage_roller,HE,손에서 미끄러지지 않는 그립
massage_roller,HE,세 가지 색상 구성
massage_roller,HE,곡면으로 다듬은 마감
chair_seat,UT,골반을 세워 주는 경사 설계
chair_seat,UT,커버 분리 세탁 가능
chair_seat,UT,미끄럼 방지 바닥 처리
chair_seat,HE,오래 앉아도 눌리지 않는 푹신함
chair_seat,HE,여름에도 덜 더운 메시 상판
chair_seat,HE,사무실에 무난한 무채색
laptop_stand,UT,눈높이까지 올라가는 6단 조절
laptop_stand,UT,4kg까지 흔들리지 않는 지지
laptop_stand,UT,15.6인치까지 대응
laptop_stand,HE,접었을 때 손바닥만 한 두께
laptop_stand,HE,책상에 어울리는 무광 마감
laptop_stand,HE,두 가지 색상 구성
backpack,UT,1박 짐까지 들어가는 28L
backpack,UT,노트북 전용 칸
backpack,UT,생활 방수 원단
backpack,HE,어깨를 파고들지 않는 넓은 끈
backpack,HE,정장에도 어울리는 형태
backpack,HE,네 가지 색상 구성
windbreaker,UT,봉제선까지 막은 방수 처리
windbreaker,UT,접어서 주머니에 들어가는 부피
windbreaker,UT,세탁기 사용 가능
windbreaker,HE,목까지 올라오는 깃
windbreaker,HE,도심에서 입기 좋은 실루엣
windbreaker,HE,다섯 가지 색상 구성
